device_type,phase,op,node_id,duration
npu,decode,Add,L0_Add2,0.0005375999984593705
npu,decode,Add,L10_Add1,0.0006143999980849912
npu,decode,Add,L10_Add2,0.0008294399971475741
npu,decode,Add,L11_Add1,0.0006911999976182415
npu,decode,Add,L11_Add2,0.0008294399971475741
npu,decode,Add,L12_Add1,0.0003839999990304932
npu,decode,Add,L12_Add2,0.0005375999984664759
npu,decode,Add,L13_Add1,0.0006911999976182415
npu,decode,Add,L13_Add2,0.0008294399971475741
npu,decode,Add,L14_Add1,0.0006758399977115914
npu,decode,Add,L14_Add2,0.0008294399971475741
npu,decode,Add,L15_Add1,0.00046079999856374343
npu,decode,Add,L15_Add2,0.0006758399976263263
npu,decode,Add,L16_Add1,0.0005529599984583911
npu,decode,Add,L16_Add2,0.0006911999979877237
npu,decode,Add,L17_Add1,0.0006911999976182415
npu,decode,Add,L17_Add2,0.0008294399971475741
npu,decode,Add,L18_Add1,0.0005222399981903436
npu,decode,Add,L18_Add2,0.0006758399976263263
npu,decode,Add,L19_Add1,0.0006911999976182415
npu,decode,Add,L19_Add2,0.0008294399971475741
npu,decode,Add,L1_Add1,0.0006911999976182415
npu,decode,Add,L1_Add2,0.0008294399971404687
npu,decode,Add,L20_Add1,0.0004761599989251408
npu,decode,Add,L20_Add2,0.0006911999979877237
npu,decode,Add,L21_Add1,0.0005222399981903436
npu,decode,Add,L21_Add2,0.0006758399976263263
npu,decode,Add,L22_Add1,0.0006911999976182415
npu,decode,Add,L22_Add2,0.0008294399971475741
npu,decode,Add,L23_Add1,0.0006911999976182415
npu,decode,Add,L23_Add2,0.0008294399971475741
npu,decode,Add,L24_Add1,0.0003993599993918906
npu,decode,Add,L24_Add2,0.0005529599988278733
npu,decode,Add,L25_Add1,0.0006297599984463886
npu,decode,Add,L25_Add2,0.0008447999975089715
npu,decode,Add,L26_Add1,0.0006911999976182415
npu,decode,Add,L26_Add2,0.0008294399971475741
npu,decode,Add,L27_Add1,0.0005375999980969937
npu,decode,Add,L27_Add2,0.0006758399976263263
npu,decode,Add,L28_Add1,0.000537599998551741
npu,decode,Add,L28_Add2,0.0006911999979877237
npu,decode,Add,L29_Add1,0.0006911999976182415
npu,decode,Add,L29_Add2,0.0008294399971475741
npu,decode,Add,L2_Add1,0.0006911999976182415
npu,decode,Add,L2_Add2,0.0008294399971404687
npu,decode,Add,L30_Add1,0.0004454399986570934
npu,decode,Add,L30_Add2,0.0006758399976263263
npu,decode,Add,L31_Add1,0.0007065599979796389
npu,decode,Add,L31_Add2,0.0008447999975089715
npu,decode,Add,L3_Add1,0.0005375999980969937
npu,decode,Add,L3_Add2,0.0006758399976263263
npu,decode,Add,L4_Add1,0.0005529599984583911
npu,decode,Add,L4_Add2,0.0006911999979877237
npu,decode,Add,L5_Add1,0.0006143999980849912
npu,decode,Add,L5_Add2,0.0008294399971475741
npu,decode,Add,L6_Add1,0.0005222399981903436
npu,decode,Add,L6_Add2,0.0006758399976263263
npu,decode,Add,L7_Add1,0.0006758399977115914
npu,decode,Add,L7_Add2,0.0008294399971475741
npu,decode,Add,L8_Add1,0.0005529599984583911
npu,decode,Add,L8_Add2,0.0006911999979877237
npu,decode,Add,L9_Add1,0.0005375999980969937
npu,decode,Add,L9_Add2,0.0006758399976263263
npu,decode,FFN_W1,L0_FFN_W1,0.0079875276800081
npu,decode,FFN_W1,L10_FFN_W1,0.3190860458687421
npu,decode,FFN_W1,L11_FFN_W1,0.3588052309353291
npu,decode,FFN_W1,L12_FFN_W1,0.1993823573329777
npu,decode,FFN_W1,L13_FFN_W1,0.3591329109351575
npu,decode,FFN_W1,L14_FFN_W1,0.35073032192212583
npu,decode,FFN_W1,L15_FFN_W1,0.2392326144010878
npu,decode,FFN_W1,L16_FFN_W1,0.28733254314715717
npu,decode,FFN_W1,L17_FFN_W1,0.3588926122686167
npu,decode,FFN_W1,L18_FFN_W1,0.2710734984543685
npu,decode,FFN_W1,L19_FFN_W1,0.3589363029352604
npu,decode,FFN_W1,L1_FFN_W1,0.3594387456016641
npu,decode,FFN_W1,L20_FFN_W1,0.24717645141413241
npu,decode,FFN_W1,L21_FFN_W1,0.2713793331208751
npu,decode,FFN_W1,L22_FFN_W1,0.3589363029352604
npu,decode,FFN_W1,L23_FFN_W1,0.3586960042687196
npu,decode,FFN_W1,L24_FFN_W1,0.207369885012666
npu,decode,FFN_W1,L25_FFN_W1,0.3272701815483276
npu,decode,FFN_W1,L26_FFN_W1,0.3588052309353291
npu,decode,FFN_W1,L27_FFN_W1,0.2790391808009623
npu,decode,FFN_W1,L28_FFN_W1,0.2792576341339539
npu,decode,FFN_W1,L29_FFN_W1,0.35891445760193863
npu,decode,FFN_W1,L2_FFN_W1,0.3588052309353291
npu,decode,FFN_W1,L30_FFN_W1,0.2312450867211721
npu,decode,FFN_W1,L31_FFN_W1,0.3670330572815582
