phase,t_start,t_end,makespan,IDLE,NPU_only,PIM_only,COMM_only,NPU+PIM,NPU+COMM,PIM+COMM,NPU+PIM+COMM,ACTIVE_any,decode_multiplier
prefill,0.0,171.85506876041248,171.85506876041248,0.0,170.95939342454372,0.0,0.0,0.5853849599996348,0.31029037586914787,0.0,0.0,171.8550687604125,1.0
decode,0.0,1049.3684518018447,1049.3684518018447,0.0,162.36058209924064,21.626097023309782,203.68196863337386,7.294343873716963,456.0197467237192,15.633567097009376,25.44514889737699,892.0614543477468,63.01538461538462
