phase,start,end,duration,npu_active,pim_active,comm_active,label
decode,1078.7910417196433,1078.7910869986433,4.5279000005393755e-05,1,1,1,NPU+PIM+COMM
decode,1078.7910869986433,1078.7913152970332,0.00022829838985671813,1,0,1,NPU+COMM
decode,1078.7913152970332,1078.7913275156816,1.2218648407724686e-05,1,0,0,NPU_only
decode,1078.7913275156816,1078.7913781396817,5.0624000095922383e-05,1,1,0,NPU+PIM
decode,1078.7913781396817,1078.7913964145744,1.8274892681802157e-05,1,0,0,NPU_only
decode,1078.7913964145744,1078.7915716985558,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7915716985558,1078.791652816097,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.791652816097,1078.7918281000784,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7918281000784,1078.7919092176196,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7919092176196,1078.7920674736818,0.00015825606215003063,1,0,1,NPU+COMM
decode,1078.7920674736818,1078.7921127526818,4.5279000005393755e-05,1,1,1,NPU+PIM+COMM
decode,1078.7921127526818,1078.7923409031237,0.00022815044189883338,1,0,1,NPU+COMM
decode,1078.7923409031237,1078.79235326972,1.2366596365609439e-05,1,0,0,NPU_only
decode,1078.79235326972,1078.7924038937201,5.0624000095922383e-05,1,1,0,NPU+PIM
decode,1078.7924038937201,1078.7924220206648,1.8126944723917404e-05,1,0,0,NPU_only
decode,1078.7924220206648,1078.7925973046463,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7925973046463,1078.7926784221875,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7926784221875,1078.792853706169,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.792853706169,1078.79293482371,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.79293482371,1078.7930932277202,0.00015840401010791538,1,0,1,NPU+COMM
decode,1078.7930932277202,1078.7931385067202,4.5279000005393755e-05,1,1,1,NPU+PIM+COMM
decode,1078.7931385067202,1078.7933672217775,0.0002287150573465624,1,0,1,NPU+COMM
decode,1078.7933672217775,1078.7933790237585,1.1801980917880428e-05,1,0,0,NPU_only
decode,1078.7933790237585,1078.7934296477586,5.0624000095922383e-05,1,1,0,NPU+PIM
decode,1078.7934296477586,1078.7934483393187,1.8691560171646415e-05,1,0,0,NPU_only
decode,1078.7934483393187,1078.7936236233002,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7936236233002,1078.7937047408413,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7937047408413,1078.7938800248228,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7938800248228,1078.793961142364,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.793961142364,1078.7941189817586,0.00015783939466018637,1,0,1,NPU+COMM
decode,1078.7941189817586,1078.7941642607586,4.5279000005393755e-05,1,1,1,NPU+PIM+COMM
decode,1078.7941642607586,1078.794392827868,0.00022856710938867764,1,0,1,NPU+COMM
decode,1078.794392827868,1078.794404777797,1.1949928875765181e-05,1,0,0,NPU_only
decode,1078.794404777797,1078.7944739454092,6.916761230968405e-05,1,1,0,NPU+PIM
decode,1078.7944739454092,1078.794545959797,7.201438779702585e-05,1,1,1,NPU+PIM+COMM
decode,1078.794545959797,1078.7946492293906,0.00010326959363737842,1,0,1,NPU+COMM
decode,1078.7946492293906,1078.7947303469318,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7947303469318,1078.7949056309133,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7949056309133,1078.7949867484544,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7949867484544,1078.795188881805,0.00020213335051266768,1,0,1,NPU+COMM
decode,1078.795188881805,1078.795235293797,4.641199211619096e-05,1,0,0,NPU_only
decode,1078.795235293797,1078.7952438625405,8.568743396608625e-06,1,1,0,NPU+PIM
decode,1078.7952438625405,1078.795252061797,8.199256626539864e-06,1,1,1,NPU+PIM+COMM
decode,1078.795252061797,1078.7954615261401,0.00020946434301549743,1,0,1,NPU+COMM
decode,1078.7954615261401,1078.795500264063,3.87379229778162e-05,1,0,0,NPU_only
decode,1078.795500264063,1078.7956755480445,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7956755480445,1078.7957566655857,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7957566655857,1078.7959319495671,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7959319495671,1078.7959849968065,5.304723936205846e-05,1,0,0,NPU_only
decode,1078.7959849968065,1078.7960017648065,1.6768000023148488e-05,1,1,0,NPU+PIM
decode,1078.7960017648065,1078.7960130671083,1.1302301800242276e-05,1,0,0,NPU_only
decode,1078.7960130671083,1078.7961883510898,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.7961883510898,1078.796269468631,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.796269468631,1078.7963191128065,4.964417553310341e-05,1,0,1,NPU+COMM
decode,1078.7963191128065,1078.7963272370685,8.124261967168422e-06,1,1,1,NPU+PIM+COMM
decode,1078.7963272370685,1078.7964447526124,0.00011751554393413244,1,0,1,NPU+COMM
decode,1078.7964447526124,1078.7965258701536,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7965258701536,1078.796701154135,0.00017528398143440427,1,0,1,NPU+COMM
decode,1078.796701154135,1078.7967807588257,7.960469065437792e-05,1,0,0,NPU_only
decode,1078.7967807588257,1078.7967822716762,1.512850531071308e-06,1,1,0,NPU+PIM
decode,1078.7967822716762,1078.7967975268257,1.525514949207718e-05,1,1,1,NPU+PIM+COMM
decode,1078.7967975268257,1078.7969575556576,0.0001600288319423271,1,0,1,NPU+COMM
decode,1078.7969575556576,1078.7970386731988,8.111754118544923e-05,1,0,0,NPU_only
decode,1078.7970386731988,1078.7972408065493,0.00020213335051266768,1,0,1,NPU+COMM
decode,1078.7972408065493,1078.7972957872848,5.498073551279958e-05,1,0,0,NPU_only
decode,1078.7972957872848,1078.7973051788256,9.391540743308724e-06,1,0,1,NPU+COMM
decode,1078.7973051788256,1078.7973133030875,8.124261967168422e-06,1,1,1,NPU+PIM+COMM
decode,1078.7973133030875,1078.7974743698544,0.00016106676685012644,1,0,1,NPU+COMM
decode,1078.7974743698544,1078.7975521888075,7.781895305924991e-05,1,0,0,NPU_only
decode,1078.7975521888075,1078.7976719598541,0.00011977104668403626,1,0,1,NPU+COMM
