code,call_count,cycles,running_time(us)
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_softmax_custom.cpp:39,2588,55469,1.450000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:34,2247,34701,1.180000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:98,1053,15880,0.630000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:127,904,12968,0.650000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:33,163,8267,0.210000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:103,770,6930,0.450000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:32,46,6818,0.170000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:40,42,6404,0.160000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:31,26,5381,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:19,25,5376,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:99,120,5251,0.090000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:129,585,4923,0.360000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:59,27,4147,0.140000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:104,137,2451,0.060000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:48,16,2383,0.140000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:97,57,2185,0.040000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:118,54,1750,0.030000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:113,45,1742,0.520000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:112,31,1526,0.530000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:102,66,1359,0.030000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:148,24,1329,0.450000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:147,25,1269,0.460000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:85,13,1223,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:142,29,1167,0.440000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:143,20,1137,0.430000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:144,6,1108,0.430000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_softmax_custom.cpp:22,23,1069,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:124,24,1019,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/build/auto_gen/ascendc_kernels_sim/auto_gen_softmax_custom.cpp:31,5,854,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:84,15,677,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:139,38,659,0.020000
