code,call_count,cycles,running_time(us)
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:43,2,298,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:47,1,297,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:46,1,297,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:44,2,276,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:76,8,274,0.010000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:50,2,270,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:52,1,267,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:77,5,264,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:161,1,263,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:96,110,175,0.030000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:123,22,110,0.060000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:53,2,65,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:169,1,64,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:80,6,53,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:67,4,45,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:167,1,43,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:163,1,43,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:83,4,42,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:68,3,39,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:61,9,14,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:71,5,12,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:92,6,11,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:70,4,7,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/../kernel_impl/softmax_kernel.h:101,3,6,0.000000
/root/TriForm/measurements/ascendc/softmax/kernel_launch_method_by_direct/softmax_custom.cpp:0,1,5,0.000000
