Batch,Query Lat. (s),70B GPU Throughput
1,127.06,0.47
2,131.17,0.91
4,136.01,1.76
8,149.71,3.21
16,191.09,5.02
32,228.14,8.42
64,310.72,12.36
128,511.30,15.02
