Batch,Query Lat. (s),70B GPU Throughput
1,129.87,0.46
2,137.41,0.87
4,150.40,1.60
8,180.32,2.66
16,250.93,3.83
32,353.07,5.44
64,651.53,5.89
128,1282.65,5.99
