Batch,Query Lat. (s),70B GPU Throughput
1,162.94,0.37
2,192.22,0.62
4,252.70,0.95
8,383.07,1.25
16,810.53,1.18
32,1488.11,1.29
64,2870.36,1.34
128,5688.06,1.35
