op_label,seqlen,vector_dim,matrix_col,predicted_cycles,actual_cycles,error,rel_error
weight_af,,1024,768,13203.000,13494.000,291.000,0.021565
weight,,1024,1024,17264.000,17628.000,364.000,0.020649
weight_af,,1024,1024,17450.000,17814.000,364.000,0.020433
weight,,1024,1536,25757.000,26488.000,731.000,0.027597
weight_af,,1024,1536,25943.000,26674.000,731.000,0.027405
weight,,1024,2048,34250.000,35128.000,878.000,0.024994
weight_af,,1024,2048,34436.000,35314.000,878.000,0.024863
weight,,1024,3072,51236.000,52628.000,1392.000,0.026450
weight_af,,1024,3072,51422.000,52814.000,1392.000,0.026357
weight,,1024,4096,68222.000,70128.000,1906.000,0.027179
weight_af,,1024,4096,68408.000,70314.000,1906.000,0.027107
