phase,node_id,op,device,device_type,mode,start,end,duration
decode,L27_Act_E1,SwiGLU,PIM0,pim,NAIVE,1.103363458,1.103364817,1.36E-06
decode,L27_FFN_W2_E0,FFN_W2,PIM1,pim,NAIVE,1.103364583,1.103400126,3.55E-05
decode,L27_FFN_W2_E1,FFN_W2,PIM0,pim,NAIVE,1.103364817,1.10340036,3.55E-05
decode,L27_Router,MoE_Router,PIM1,pim,NAIVE,1.10340043,1.103400465,3.50E-08
decode,L27_Add2,Add,PIM0,pim,NAIVE,1.103400535,1.103400539,3.75E-09
decode,L28_LN1,LN,PIM1,pim,NAIVE,1.10340061,1.103402252,1.64E-06
decode,L28_Q_s0,Q,PIM0,pim,NAIVE,1.103402322,1.103407857,5.53E-06
decode,L28_K_s0,K,PIM0,pim,NAIVE,1.103407857,1.103409927,2.07E-06
decode,L28_V_s0,V,PIM0,pim,NAIVE,1.103409927,1.103411997,2.07E-06
decode,L28_Q_s1,Q,PIM1,pim,NAIVE,1.103402252,1.103407787,5.53E-06
decode,L28_K_s1,K,PIM1,pim,NAIVE,1.103407787,1.103409857,2.07E-06
decode,L28_V_s1,V,PIM1,pim,NAIVE,1.103409857,1.103411927,2.07E-06
decode,L28_K_write_s0,K_write,PIM0,pim,NAIVE,1.103411997,1.103412027,3.00E-08
decode,L28_QK_s0,QK,PIM0,pim,NAIVE,1.103412027,1.103432977,2.09E-05
decode,L28_V_write_s0,V_write,PIM0,pim,NAIVE,1.103432977,1.103433007,3.00E-08
decode,L28_K_write_s1,K_write,PIM1,pim,NAIVE,1.103411927,1.103411957,3.00E-08
decode,L28_QK_s1,QK,PIM1,pim,NAIVE,1.103411957,1.103432907,2.09E-05
decode,L28_V_write_s1,V_write,PIM1,pim,NAIVE,1.103432907,1.103432937,3.00E-08
decode,L28_Softmax_s0,Softmax,PIM0,pim,NAIVE,1.103433007,1.103442624,9.62E-06
decode,L28_Softmax_s1,Softmax,PIM1,pim,NAIVE,1.103432937,1.103442553,9.62E-06
decode,L28_SV_s0,SV,PIM0,pim,NAIVE,1.103442624,1.103473464,3.08E-05
decode,L28_SV_s1,SV,PIM1,pim,NAIVE,1.103442553,1.103473393,3.08E-05
decode,L28_O_s0,O,PIM1,pim,NAIVE,1.103473501,1.103478579,5.08E-06
decode,L28_O_s1,O,PIM0,pim,NAIVE,1.103473464,1.103478541,5.08E-06
decode,L28_AllReduce_O,ALLREDUCE,COMM,comm,COMM,1.103478579,1.103478644,6.54E-08
decode,L28_Add1,Add,PIM0,pim,NAIVE,1.103478644,1.103478648,3.75E-09
decode,L28_LN2,LN,PIM1,pim,NAIVE,1.103478718,1.103480361,1.64E-06
decode,L28_FFN_W1_E0,FFN_W1,PIM0,pim,NAIVE,1.103480431,1.103516501,3.61E-05
decode,L28_FFN_W3_E0,FFN_W3,PIM1,pim,NAIVE,1.103480361,1.103513616,3.33E-05
decode,L28_FFN_W1_E1,FFN_W1,PIM1,pim,NAIVE,1.103513616,1.103549686,3.61E-05
decode,L28_FFN_W3_E1,FFN_W3,PIM0,pim,NAIVE,1.103516501,1.103549756,3.33E-05
decode,L28_Act_E0,SwiGLU,PIM1,pim,NAIVE,1.103549686,1.103551045,1.36E-06
decode,L28_Act_E1,SwiGLU,PIM0,pim,NAIVE,1.10354992,1.103551278,1.36E-06
decode,L28_FFN_W2_E0,FFN_W2,PIM1,pim,NAIVE,1.103551045,1.103586587,3.55E-05
decode,L28_FFN_W2_E1,FFN_W2,PIM0,pim,NAIVE,1.103551278,1.103586821,3.55E-05
decode,L28_Router,MoE_Router,PIM1,pim,NAIVE,1.103586891,1.103586926,3.50E-08
decode,L28_Add2,Add,PIM0,pim,NAIVE,1.103586997,1.103587,3.75E-09
decode,L29_LN1,LN,PIM1,pim,NAIVE,1.103587071,1.103588713,1.64E-06
decode,L29_Q_s0,Q,PIM0,pim,NAIVE,1.103588784,1.103594319,5.53E-06
decode,L29_K_s0,K,PIM0,pim,NAIVE,1.103594319,1.103596389,2.07E-06
decode,L29_V_s0,V,PIM0,pim,NAIVE,1.103596389,1.103598459,2.07E-06
decode,L29_Q_s1,Q,PIM1,pim,NAIVE,1.103588713,1.103594248,5.53E-06
decode,L29_K_s1,K,PIM1,pim,NAIVE,1.103594248,1.103596318,2.07E-06
decode,L29_V_s1,V,PIM1,pim,NAIVE,1.103596318,1.103598388,2.07E-06
decode,L29_K_write_s0,K_write,PIM0,pim,NAIVE,1.103598459,1.103598489,3.00E-08
decode,L29_QK_s0,QK,PIM0,pim,NAIVE,1.103598489,1.103619439,2.09E-05
decode,L29_V_write_s0,V_write,PIM0,pim,NAIVE,1.103619439,1.103619469,3.00E-08
decode,L29_K_write_s1,K_write,PIM1,pim,NAIVE,1.103598388,1.103598418,3.00E-08
decode,L29_QK_s1,QK,PIM1,pim,NAIVE,1.103598418,1.103619368,2.09E-05
decode,L29_V_write_s1,V_write,PIM1,pim,NAIVE,1.103619368,1.103619398,3.00E-08
decode,L29_Softmax_s0,Softmax,PIM0,pim,NAIVE,1.103619469,1.103629085,9.62E-06
decode,L29_Softmax_s1,Softmax,PIM1,pim,NAIVE,1.103619398,1.103629015,9.62E-06
decode,L29_SV_s0,SV,PIM0,pim,NAIVE,1.103629085,1.103659925,3.08E-05
decode,L29_SV_s1,SV,PIM1,pim,NAIVE,1.103629015,1.103659855,3.08E-05
decode,L29_O_s0,O,PIM1,pim,NAIVE,1.103659963,1.10366504,5.08E-06
decode,L29_O_s1,O,PIM0,pim,NAIVE,1.103659925,1.103665002,5.08E-06
decode,L29_AllReduce_O,ALLREDUCE,COMM,comm,COMM,1.10366504,1.103665105,6.54E-08
decode,L29_Add1,Add,PIM0,pim,NAIVE,1.103665105,1.103665109,3.75E-09
decode,L29_LN2,LN,PIM1,pim,NAIVE,1.10366518,1.103666822,1.64E-06
decode,L29_FFN_W1_E0,FFN_W1,PIM0,pim,NAIVE,1.103666892,1.103702962,3.61E-05
decode,L29_FFN_W3_E0,FFN_W3,PIM1,pim,NAIVE,1.103666822,1.103700077,3.33E-05
decode,L29_FFN_W1_E1,FFN_W1,PIM1,pim,NAIVE,1.103700077,1.103736147,3.61E-05
decode,L29_FFN_W3_E1,FFN_W3,PIM0,pim,NAIVE,1.103702962,1.103736217,3.33E-05
decode,L29_Act_E0,SwiGLU,PIM1,pim,NAIVE,1.103736147,1.103737506,1.36E-06
decode,L29_Act_E1,SwiGLU,PIM0,pim,NAIVE,1.103736381,1.10373774,1.36E-06
decode,L29_FFN_W2_E0,FFN_W2,PIM1,pim,NAIVE,1.103737506,1.103773048,3.55E-05
decode,L29_FFN_W2_E1,FFN_W2,PIM0,pim,NAIVE,1.10373774,1.103773282,3.55E-05
decode,L29_Router,MoE_Router,PIM1,pim,NAIVE,1.103773353,1.103773388,3.50E-08
decode,L29_Add2,Add,PIM0,pim,NAIVE,1.103773458,1.103773462,3.75E-09
decode,L30_LN1,LN,PIM1,pim,NAIVE,1.103773532,1.103775175,1.64E-06
decode,L30_Q_s0,Q,PIM0,pim,NAIVE,1.103775245,1.10378078,5.53E-06
decode,L30_K_s0,K,PIM0,pim,NAIVE,1.10378078,1.10378285,2.07E-06
decode,L30_V_s0,V,PIM0,pim,NAIVE,1.10378285,1.10378492,2.07E-06
decode,L30_Q_s1,Q,PIM1,pim,NAIVE,1.103775175,1.10378071,5.53E-06
decode,L30_K_s1,K,PIM1,pim,NAIVE,1.10378071,1.10378278,2.07E-06
decode,L30_V_s1,V,PIM1,pim,NAIVE,1.10378278,1.10378485,2.07E-06
decode,L30_K_write_s0,K_write,PIM0,pim,NAIVE,1.10378492,1.10378495,3.00E-08
decode,L30_QK_s0,QK,PIM0,pim,NAIVE,1.10378495,1.1038059,2.09E-05
decode,L30_V_write_s0,V_write,PIM0,pim,NAIVE,1.1038059,1.10380593,3.00E-08
decode,L30_K_write_s1,K_write,PIM1,pim,NAIVE,1.10378485,1.10378488,3.00E-08
decode,L30_QK_s1,QK,PIM1,pim,NAIVE,1.10378488,1.10380583,2.09E-05
decode,L30_V_write_s1,V_write,PIM1,pim,NAIVE,1.10380583,1.10380586,3.00E-08
decode,L30_Softmax_s0,Softmax,PIM0,pim,NAIVE,1.10380593,1.103815546,9.62E-06
decode,L30_Softmax_s1,Softmax,PIM1,pim,NAIVE,1.10380586,1.103815476,9.62E-06
decode,L30_SV_s0,SV,PIM0,pim,NAIVE,1.103815546,1.103846386,3.08E-05
decode,L30_SV_s1,SV,PIM1,pim,NAIVE,1.103815476,1.103846316,3.08E-05
decode,L30_O_s0,O,PIM1,pim,NAIVE,1.103846424,1.103851501,5.08E-06
decode,L30_O_s1,O,PIM0,pim,NAIVE,1.103846386,1.103851464,5.08E-06
decode,L30_AllReduce_O,ALLREDUCE,COMM,comm,COMM,1.103851501,1.103851567,6.54E-08
decode,L30_Add1,Add,PIM0,pim,NAIVE,1.103851567,1.10385157,3.75E-09
decode,L30_LN2,LN,PIM1,pim,NAIVE,1.103851641,1.103853283,1.64E-06
decode,L30_FFN_W1_E0,FFN_W1,PIM0,pim,NAIVE,1.103853354,1.103889424,3.61E-05
decode,L30_FFN_W3_E0,FFN_W3,PIM1,pim,NAIVE,1.103853283,1.103886538,3.33E-05
decode,L30_FFN_W1_E1,FFN_W1,PIM1,pim,NAIVE,1.103886538,1.103922608,3.61E-05
decode,L30_FFN_W3_E1,FFN_W3,PIM0,pim,NAIVE,1.103889424,1.103922679,3.33E-05
decode,L30_Act_E0,SwiGLU,PIM1,pim,NAIVE,1.103922608,1.103923967,1.36E-06
decode,L30_Act_E1,SwiGLU,PIM0,pim,NAIVE,1.103922842,1.103924201,1.36E-06
