CENT Throughput (Query/min),CENT Latency (min),GPU Throughput (Query/min),GPU Latency (min)
1.630348318851773,0.6664255634666668,0.47,2.1176666666666666
3.1629623073486823,0.6838529706000002,0.91,2.1861666666666664
5.808567903140323,0.7361075675,1.76,2.266833333333333
9.727366457271426,0.8657874109666667,3.21,2.495166666666667
14.685444663794842,1.1266861143166664,5.02,3.184833333333333
17.36039776274992,4.67615508405,8.42,3.802333333333333
,,12.36,5.178666666666667
,,15.02,8.521666666666667
