Model,CENT/GPU Normalized Token / J
Llama2-7B,0.3750761991855612
Llama2-13B,0.36312266423422535
Llama2-70B,0.5469527923764036
Llama2-7B,4.242934730835061
Llama2-13B,4.260431922275492
Llama2-70B,1.7891263525740377
Llama2-7B,3.84567280648845
Llama2-13B,3.8648986420638947
Llama2-70B,1.6034438329654512
Geomean,2.8777610527772306
