phase,t_start,t_end,makespan,IDLE,NPU_only,PIM_only,COMM_only,NPU+PIM,NPU+COMM,PIM+COMM,NPU+PIM+COMM,ACTIVE_any,decode_multiplier
prefill,0.0,165.17301631203807,165.17301631203807,0.0,78.95458624995138,2.1208759637734733,0.011218174804559666,83.78120223285111,0.19400030121542358,0.0,0.10657266064332216,165.16845558323925,1.0
decode,0.0,445.21000878252414,445.21000878252414,0.0,2.9266996218410966,14.014544072534102,0.00022037942678882527,96.78445934152518,6.127069464802313,42.3884275896224,293.6518503325741,455.893270802326,63.01538461538462
