attacc_1024x1024	9740072	9740073	9740074	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x1024.merge.csv
@collect_attacc_1024x1024	-	-	9740075	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x1024.merge_all.csv
attacc_1024x128	9740076	9740077	9740078	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x128.merge.csv
@collect_attacc_1024x128	-	-	9740079	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x128.merge_all.csv
attacc_1024x256	9740080	9740081	9740082	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x256.merge.csv
@collect_attacc_1024x256	-	-	9740083	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x256.merge_all.csv
attacc_1024x512	9740084	9740085	9740086	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x512.merge.csv
@collect_attacc_1024x512	-	-	9740087	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x512.merge_all.csv
attacc_1024x64	9740088	9740089	9740090	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x64.merge.csv
@collect_attacc_1024x64	-	-	9740091	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attacc_1024x64.merge_all.csv
attn_on_pim_1024x1024	9740092	9740093	9740094	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x1024.merge.csv
@collect_attn_on_pim_1024x1024	-	-	9740095	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x1024.merge_all.csv
attn_on_pim_1024x128	9740096	9740097	9740098	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x128.merge.csv
@collect_attn_on_pim_1024x128	-	-	9740099	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x128.merge_all.csv
attn_on_pim_1024x256	9740100	9740101	9740102	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x256.merge.csv
@collect_attn_on_pim_1024x256	-	-	9740103	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x256.merge_all.csv
attn_on_pim_1024x512	9740104	9740105	9740106	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x512.merge.csv
@collect_attn_on_pim_1024x512	-	-	9740107	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x512.merge_all.csv
attn_on_pim_1024x64	9740108	9740109	9740110	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x64.merge.csv
@collect_attn_on_pim_1024x64	-	-	9740111	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/attn_on_pim_1024x64.merge_all.csv
facil_1024x1024	9740112	9740113	9740114	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/facil_1024x1024.merge.csv
@collect_facil_1024x1024	-	-	9740115	/lustre/home/2501111916/workspace/XPUPIM_0226_gpupim_parameter/TriForm/verify/hw_hardware_1gpu_2aim/st64/llama_7b_bf16_b1_s64/facil_1024x1024.merge_all.csv
