phase,start,end,duration,npu_active,pim_active,comm_active,label
decode,1023.6484866485287,1023.6489028379608,0.00041618943214416504,0,1,0,PIM_only
decode,1023.6489030335385,1023.6493035767514,0.000400543212890625,0,1,0,PIM_only
decode,1023.6493036256459,1023.6493588227916,5.5197145684360294e-05,0,0,1,COMM_only
decode,1023.6493741054749,1023.6497746486878,0.000400543212890625,0,1,0,PIM_only
decode,1023.6497747464766,1023.6498831407678,0.00010839429114639643,0,1,1,PIM+COMM
decode,1023.6498831407678,1023.6503132537694,0.00043011300158468657,0,1,0,PIM_only
decode,1023.6503134004527,1023.6504749918893,0.00016159143660843256,0,1,1,PIM+COMM
decode,1023.6504749918893,1023.6509193919965,0.00044440010719881684,0,1,0,PIM_only
decode,1023.6509195875742,1023.6511343761563,0.0002147885820704687,0,1,1,PIM+COMM
decode,1023.6511343761563,1023.6511637281992,2.9352042929531308e-05,0,1,0,PIM_only
decode,1023.6511925201562,1023.6515930633691,0.000400543212890625,0,1,0,PIM_only
decode,1023.6515932589468,1023.6518080475289,0.0002147885820704687,0,1,1,PIM+COMM
decode,1023.6518080475289,1023.6518373995718,2.9352042929531308e-05,0,1,0,PIM_only
decode,1023.6518661915288,1023.6522667347417,0.000400543212890625,0,1,0,PIM_only
decode,1023.6522669303195,1023.6524817189015,0.0002147885820704687,0,1,1,PIM+COMM
decode,1023.6524817189015,1023.6525110709445,2.9352042929531308e-05,0,1,0,PIM_only
decode,1023.6525398629014,1023.6529404061143,0.000400543212890625,0,1,0,PIM_only
decode,1023.6529406016921,1023.6531553902742,0.0002147885820704687,0,1,1,PIM+COMM
decode,1023.6531553902742,1023.6531847423171,2.9352042929531308e-05,0,1,0,PIM_only
decode,1023.6532135342741,1023.654102358737,0.000888824462890625,0,1,0,PIM_only
decode,1023.654102358737,1023.6541268015835,2.444284655211959e-05,1,0,1,NPU+COMM
decode,1023.6541268015835,1023.6541287965101,1.9949266061303206e-06,0,0,1,COMM_only
decode,1023.6541287965101,1023.6541311405854,2.3440752556780353e-06,0,1,1,PIM+COMM
decode,1023.6541311405854,1023.6567533082289,0.002622167643494322,0,1,0,PIM_only
decode,1023.6567533082289,1023.6567777510754,2.444284655211959e-05,1,0,1,NPU+COMM
decode,1023.6567777510754,1023.656779746002,1.9949266061303206e-06,0,0,1,COMM_only
decode,1023.656779746002,1023.6567926376961,1.2891694041172741e-05,0,1,1,PIM+COMM
decode,1023.6567926376961,1023.6582445904505,0.0014519527544507582,0,1,0,PIM_only
decode,1023.6582447860283,1023.6586453292412,0.000400543212890625,0,1,0,PIM_only
decode,1023.6586453781356,1023.6587015911139,5.621297827929084e-05,0,0,1,COMM_only
decode,1023.6587158579646,1023.6591164011775,0.000400543212890625,0,1,0,PIM_only
decode,1023.6591164989663,1023.659124322076,7.82310962677002e-06,0,1,1,PIM+COMM
decode,1023.659124322076,1023.6592259090901,0.00010158701411455695,0,0,1,COMM_only
decode,1023.6592544630462,1023.6596550062591,0.000400543212890625,0,1,0,PIM_only
decode,1023.6596551529424,1023.659662976052,7.82310962677002e-06,0,1,1,PIM+COMM
decode,1023.659662976052,1023.6598177602116,0.00015478415957659308,0,0,1,COMM_only
decode,1023.6598606012733,1023.6602611444862,0.000400543212890625,0,1,0,PIM_only
decode,1023.6602613400639,1023.6602691631736,7.82310962677002e-06,0,1,1,PIM+COMM
decode,1023.6602691631736,1023.6604771444786,0.00020798130503862922,0,0,1,COMM_only
decode,1023.6605342726459,1023.6609348158588,0.000400543212890625,0,1,0,PIM_only
