instr,addr,pipe,call_count,cycles,running_time(us),detail
STP_XI_XJ_XN,0x10d110b8,SCALAR,1,269,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x1079d8,IMM:0x30,"
STP_XI_XJ_XN,0x10d110a0,SCALAR,1,269,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x107998,IMM:0x30,"
STP_XI_XJ_XN,0x10d110b4,SCALAR,1,269,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X8=0x1079b8,IMM:0,"
STI_XN_IMM,0x10d110d0,SCALAR,1,267,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xd58,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x10d110d4,SCALAR,1,267,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xd60,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x10d110d8,SCALAR,1,267,0.000000,"dtype:B32,XN:X30=0x1080b0,IMM:0xd5c,#POST:0,#IMM_TYPE:ALL_ONE,"
STI_XN_IMM,0x10d11290,SCALAR,1,267,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0xdb8,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d11294,SCALAR,1,267,0.000000,"dtype:B64,XD:X8=0x107a28,XN:X30=0x1080b0,IMM:0xdc8,"
ST_XD_XN_IMM,0x10d110f4,SCALAR,1,267,0.000000,"dtype:B64,XD:X9=0x7,XN:X30=0x1080b0,IMM:0x890,"
STP_XI_XJ_XN,0x10d110b0,SCALAR,1,266,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X8=0x1079b8,IMM:0x30,"
STP_XI_XJ_XN,0x10d110a4,SCALAR,1,266,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x107998,IMM:0,"
STP_XI_XJ_XN,0x10d110bc,SCALAR,1,266,0.000000,"dtype:B64,XI:X0=0,XJ:X0=0,XN:X9=0x1079d8,IMM:0,"
STI_XN_IMM,0x10d11368,SCALAR,1,265,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0xe00,#POST:0,#IMM_TYPE:ONE,"
LD_XD_XN_IMM,0x10d11398,SCALAR,1,265,0.000000,"dtype:B32,XD:X5=0,XN:X30=0x1080b0,IMM:0x950,"
STI_XN_IMM,0x10d110f8,SCALAR,1,261,0.000000,"dtype:B8,XN:X30=0x1080b0,IMM:0xd85,#POST:0,#IMM_TYPE:ZERO,"
STP_XI_XJ_XN,0x10d111cc,SCALAR,1,220,0.000000,"dtype:B64,XI:X1=0x1356d800,XJ:X1=0x1356d800,XN:X11=0x107f40,IMM:0,"
STP_XI_XJ_XN,0x10d1110c,SCALAR,1,215,0.000000,"dtype:B16,XI:X7=0x1,XJ:X6=0x1000,XN:X13=0x107f60,IMM:0,"
ST_XD_XN_IMM,0x10d11130,SCALAR,1,211,0.000000,"dtype:B16,XD:X3=0x1000,XN:X30=0x1080b0,IMM:0xeb4,"
STP_XI_XJ_XN,0x10d11148,SCALAR,1,209,0.000000,"dtype:B16,XI:X13=0x1,XJ:X16=0x100,XN:X3=0x107f66,IMM:0,"
STP_XI_XJ_XN,0x10d11184,SCALAR,1,202,0.000000,"dtype:B16,XI:X17=0x100,XJ:X12=0x10,XN:X15=0x107f6a,IMM:0,"
STP_XI_XJ_XN,0x10d11194,SCALAR,1,200,0.000000,"dtype:B16,XI:X3=0x1000,XJ:X6=0x1000,XN:X12=0x107f6e,IMM:0,"
STP_XI_XJ_XN,0x10d111b8,SCALAR,1,196,0.000000,"dtype:B32,XI:X12=0x100,XJ:X13=0x10000,XN:X7=0x107f74,IMM:0,"
ST_XD_XN_IMM,0x10d111bc,SCALAR,1,196,0.000000,"dtype:B32,XD:X6=0x1000,XN:X30=0x1080b0,IMM:0xecc,"
LD_XD_XN_IMM,0x10d111d4,SCALAR,1,192,0.000000,"dtype:B8,XD:X2=0,XN:X30=0x1080b0,IMM:0xd84,"
STP_XI_XJ_XN,0x10d111c8,SCALAR,1,150,0.000000,"dtype:B64,XI:X2=0x1356fa00,XJ:X2=0x1356fa00,XN:X10=0x107f20,IMM:0,"
STP_XI_XJ_XN,0x10d111c4,SCALAR,1,150,0.000000,"dtype:B64,XI:X4=0x1156d600,XJ:X4=0x1156d600,XN:X9=0x107f00,IMM:0,"
MADD,0x10d11980,SCALAR,28,84,0.040000,"dtype:S64,XD:X9=0,XN:X4=0x2000,XM:X8=0,"
ST_XD_XN_IMM,0x10d113ac,SCALAR,1,41,0.000000,"dtype:B64,XD:X1=0x107a68,XN:X30=0x1080b0,IMM:0xe28,"
STI_XN_IMM,0x10d113a8,SCALAR,1,41,0.000000,"dtype:B64,XN:X30=0x1080b0,IMM:0xe18,#POST:0,#IMM_TYPE:ONE,"
ST_XD_XN_IMM,0x10d11658,SCALAR,1,39,0.000000,"dtype:B8,XD:X6=0,XN:X1=0x107a08,IMM:0x2,"
ST_XD_XN_IMM,0x10d116b8,SCALAR,1,38,0.000000,"dtype:B8,XD:X3=0x2,XN:X9=0x107a58,IMM:0x2,"
ST_XD_XN_IMM,0x10d11840,SCALAR,1,38,0.000000,"dtype:B8,XD:X4=0,XN:X3=0x107a18,IMM:0x2,"
STP_XI_XJ_XN,0x10d111c0,SCALAR,1,37,0.000000,"dtype:B64,XI:X5=0x1154d400,XJ:X5=0x1154d400,XN:X8=0x107ee0,IMM:0,"
ST_XD_XN_IMM,0x10d112a0,SCALAR,1,37,0.000000,"dtype:B32,XD:X7=0x20000,XN:X8=0x107a28,IMM:0x8,"
ST_XD_XN_IMM,0x10d1183c,SCALAR,1,37,0.000000,"dtype:B64,XD:X2=0x1,XN:X5=0x107928,IMM:0x10,"
