lenpair,prefill,decode,npu,pim,comm
128x128,128,128,5.27401466507164,4.01209828100088,3.7061475200012692
128x1024,128,1024,29.147701458816876,26.823221403972617,24.285262404193283
1024x128,1024,128,4.945728308179119,7.82225195500092,4.017040324001459
1024x1024,1024,1024,28.803808127891855,30.69036156895971,24.661044550204497
