phase,start,end,duration,npu_active,pim_active,comm_active,label
prefill,0.0,5.033538480718085e-05,5.033538480718085e-05,1,0,0,NPU_only
prefill,5.033538480718085e-05,0.00011618523832280584,6.5849853515625e-05,1,0,1,NPU+COMM
prefill,0.00011618523832280584,0.0001906455181405142,7.446027981770835e-05,1,0,0,NPU_only
prefill,0.0001906455181405142,0.0012302431743905144,0.0010395976562500003,1,0,1,NPU+COMM
prefill,0.0012302431743905144,0.001510663441057181,0.0002804202666666666,1,0,0,NPU_only
prefill,0.001510663441057181,0.001576513294572806,6.584985351562492e-05,1,1,1,NPU+PIM+COMM
prefill,0.001576513294572806,0.051416212787040755,0.04983969949246795,1,1,0,NPU+PIM
prefill,0.051416212787040755,0.05148206264055638,6.5849853515626e-05,1,1,1,NPU+PIM+COMM
prefill,0.05148206264055638,0.10278209018927432,0.051300027548717944,1,1,0,NPU+PIM
prefill,0.10278209018927432,0.10284794004278995,6.5849853515626e-05,1,1,1,NPU+PIM+COMM
prefill,0.10284794004278995,0.1541479675915079,0.051300027548717944,1,1,0,NPU+PIM
prefill,0.1541479675915079,0.15421381744502352,6.5849853515626e-05,1,1,1,NPU+PIM+COMM
prefill,0.15421381744502352,0.20551384499374148,0.05130002754871796,1,1,0,NPU+PIM
prefill,0.20551384499374148,0.2055796948472571,6.5849853515626e-05,1,1,1,NPU+PIM+COMM
prefill,0.2055796948472571,0.25687972239597506,0.05130002754871796,1,1,0,NPU+PIM
prefill,0.25687972239597506,0.25694557224949066,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.25694557224949066,0.30824559979820865,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.30824559979820865,0.30831144965172425,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.30831144965172425,0.35961147720044223,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.35961147720044223,0.35967732705395783,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.35967732705395783,0.4109773546026758,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.4109773546026758,0.4110432044561914,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.4110432044561914,0.4623432320049094,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.4623432320049094,0.462409081858425,6.584985351559824e-05,1,1,1,NPU+PIM+COMM
prefill,0.462409081858425,0.513709109407143,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.513709109407143,0.5139246352343566,0.00021552582721362512,1,1,1,NPU+PIM+COMM
prefill,0.5139246352343566,0.5650749868093766,0.051150351575020014,1,1,0,NPU+PIM
prefill,0.5650749868093766,0.5651408366628923,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.5651408366628923,0.6164408642116103,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.6164408642116103,0.6165067140651259,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.6165067140651259,0.6678067416138439,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.6678067416138439,0.6678725914673596,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.6678725914673596,0.7191726190160775,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.7191726190160775,0.7192384688695932,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.7192384688695932,0.7705384964183112,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.7705384964183112,0.7706043462718268,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.7706043462718268,0.8219043738205448,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.8219043738205448,0.8219702236740605,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.8219702236740605,0.8732702512227785,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.8732702512227785,0.8733361010762941,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.8733361010762941,0.9246361286250121,0.051300027548717986,1,1,0,NPU+PIM
prefill,0.9246361286250121,0.9247019784785278,6.584985351565376e-05,1,1,1,NPU+PIM+COMM
prefill,0.9247019784785278,1.0016482567798186,0.07694627830129086,1,1,0,NPU+PIM
prefill,1.0016482567798186,1.0017141066333342,6.584985351554273e-05,1,1,1,NPU+PIM+COMM
prefill,1.0017141066333342,1.0019294802176302,0.00021537358429601916,1,1,0,NPU+PIM
prefill,1.0019294802176302,1.0040071821696106,0.0020777019519804263,1,1,1,NPU+PIM+COMM
prefill,1.0040071821696106,1.014897453303029,0.01089027113341845,1,1,0,NPU+PIM
prefill,1.014897453303029,1.0169751552550095,0.0020777019519804263,1,1,1,NPU+PIM+COMM
prefill,1.0169751552550095,1.023850467265981,0.006875312010971468,1,1,0,NPU+PIM
prefill,1.023850467265981,1.0244125521469416,0.000562084880960656,1,0,0,NPU_only
prefill,1.0244125521469416,1.026490254098922,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.026490254098922,1.0275767658746815,0.0010865117757594689,1,0,0,NPU_only
prefill,1.0275767658746815,1.029654467826662,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.029654467826662,1.0302146448933287,0.0005601770666667782,1,0,0,NPU_only
prefill,1.0302146448933287,1.0399826540791197,0.009768009185791016,1,1,0,NPU+PIM
prefill,1.0399826540791197,1.0405447389600804,0.000562084880960656,1,0,0,NPU_only
prefill,1.0405447389600804,1.0426882907655763,0.002143551805495969,1,0,1,NPU+COMM
prefill,1.0426882907655763,1.0532240515317328,0.010535760766156477,1,0,0,NPU_only
prefill,1.0532240515317328,1.0553017534837132,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.0553017534837132,1.05586193055038,0.0005601770666667782,1,0,0,NPU_only
prefill,1.05586193055038,1.065629939736171,0.009768009185791016,1,1,0,NPU+PIM
prefill,1.065629939736171,1.0661920246171317,0.000562084880960656,1,0,0,NPU_only
prefill,1.0661920246171317,1.0683355764226277,0.002143551805495969,1,0,1,NPU+COMM
prefill,1.0683355764226277,1.0788713371887841,0.010535760766156477,1,0,0,NPU_only
prefill,1.0788713371887841,1.0809490391407646,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.0809490391407646,1.0815092162074313,0.0005601770666667782,1,0,0,NPU_only
prefill,1.0815092162074313,1.0912772253932224,0.009768009185791016,1,1,0,NPU+PIM
prefill,1.0912772253932224,1.091839310274183,0.000562084880960656,1,0,0,NPU_only
prefill,1.091839310274183,1.093982862079679,0.002143551805495969,1,0,1,NPU+COMM
prefill,1.093982862079679,1.1045186228458355,0.010535760766156477,1,0,0,NPU_only
prefill,1.1045186228458355,1.106596324797816,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.106596324797816,1.1071565018644827,0.0005601770666667782,1,0,0,NPU_only
prefill,1.1071565018644827,1.1169245110502737,0.009768009185791016,1,1,0,NPU+PIM
prefill,1.1169245110502737,1.1174865959312343,0.000562084880960656,1,0,0,NPU_only
prefill,1.1174865959312343,1.1196301477367303,0.002143551805495969,1,0,1,NPU+COMM
prefill,1.1196301477367303,1.1301659085028868,0.010535760766156477,1,0,0,NPU_only
prefill,1.1301659085028868,1.1322436104548672,0.0020777019519804263,1,0,1,NPU+COMM
prefill,1.1322436104548672,1.132803787521534,0.0005601770666667782,1,0,0,NPU_only
prefill,1.132803787521534,1.142571796707325,0.009768009185791016,1,1,0,NPU+PIM
prefill,1.142571796707325,1.1431338815882857,0.000562084880960656,1,0,0,NPU_only
prefill,1.1431338815882857,1.1452774333937816,0.002143551805495969,1,0,1,NPU+COMM
prefill,1.1452774333937816,1.3609743208762601,0.2156968874824785,1,0,0,NPU_only
prefill,1.3609743208762601,1.3610401707297757,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.3610401707297757,1.4123401982784938,0.0513000275487181,1,0,0,NPU_only
prefill,1.4123401982784938,1.4124060481320093,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.4124060481320093,1.4637060756807274,0.0513000275487181,1,0,0,NPU_only
prefill,1.4637060756807274,1.463771925534243,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.463771925534243,1.515071953082961,0.0513000275487181,1,0,0,NPU_only
prefill,1.515071953082961,1.5151378029364766,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.5151378029364766,1.5664378304851947,0.0513000275487181,1,0,0,NPU_only
prefill,1.5664378304851947,1.5665036803387102,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.5665036803387102,1.6178037078874283,0.0513000275487181,1,0,0,NPU_only
prefill,1.6178037078874283,1.6178695577409439,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.6178695577409439,1.669169585289662,0.0513000275487181,1,0,0,NPU_only
prefill,1.669169585289662,1.6692354351431775,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.6692354351431775,1.7205354626918956,0.0513000275487181,1,0,0,NPU_only
prefill,1.7205354626918956,1.7206013125454112,6.584985351554273e-05,1,0,1,NPU+COMM
prefill,1.7206013125454112,1.7720017556071415,0.051400443061730305,1,0,0,NPU_only
prefill,1.7720017556071415,1.7721770395884646,0.00017528398132315992,1,0,1,NPU+COMM
prefill,1.7721770395884646,1.9100450198756442,0.13786798028717961,1,0,0,NPU_only
prefill,1.9100450198756442,1.9104430553049572,0.00039803542931293734,1,0,1,NPU+COMM
prefill,1.9104430553049572,2.0480882841441472,0.13764522883919006,1,0,0,NPU_only
prefill,2.0480882841441472,2.0484863195734606,0.00039803542931338143,1,0,1,NPU+COMM
prefill,2.0484863195734606,2.0485810545067937,9.473493333311822e-05,1,0,0,NPU_only
prefill,2.0485810545067937,2.050644493604155,0.002063439097361286,1,1,0,NPU+PIM
prefill,2.050644493604155,2.050885627438994,0.00024113383483914674,1,1,1,NPU+PIM+COMM
prefill,2.050885627438994,2.18613154841265,0.13524592097365584,1,0,0,NPU_only
prefill,2.18613154841265,2.1865295838419634,0.00039803542931338143,1,0,1,NPU+COMM
prefill,2.1865295838419634,2.324174812681153,0.1376452288391894,1,0,0,NPU_only
prefill,2.324174812681153,2.324572848110466,0.00039803542931338143,1,0,1,NPU+COMM
prefill,2.324572848110466,2.3246675830437993,9.473493333311822e-05,1,0,0,NPU_only
prefill,2.3246675830437993,2.326635966832862,0.0019683837890625,1,1,0,NPU+PIM
prefill,2.326635966832862,2.3267310221411606,9.505530829878595e-05,1,0,0,NPU_only
prefill,2.3267310221411606,2.326906306122484,0.00017528398132338197,1,0,1,NPU+COMM
prefill,2.326906306122484,2.4622180769496556,0.1353117708271716,1,0,0,NPU_only
prefill,2.4622180769496556,2.462616112378969,0.00039803542931338143,1,0,1,NPU+COMM
prefill,2.462616112378969,2.6002613412181583,0.1376452288391894,1,0,0,NPU_only
prefill,2.6002613412181583,2.6006593766474717,0.00039803542931338143,1,0,1,NPU+COMM
prefill,2.6006593766474717,2.600754111580805,9.473493333311822e-05,1,0,0,NPU_only
