Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,2560,0.047281,0.0094062218148367,0.01335525,0.0700424718148367,0.010106,2.961804872593471,337.63196531051733,336.1009322719059,177.71458528367938,1.0
Llama2-13B,20,1,20,32,32,2688,0.0484435,0.0094062218148367,0.01390525,0.0717549718148367,0.010106,3.0303048725934705,329.99979937469305,336.5887586392172,173.70171366603222,1.0
Llama2-13B,20,1,20,32,32,2816,0.0495635,0.0094062218148367,0.01445525,0.0734249718148367,0.010106,3.0971048725934707,322.8821887334459,337.0760958923776,170.02234300058396,1.0
Llama2-13B,20,1,20,32,32,2944,0.050646,0.0094062218148367,0.01500525,0.0750574718148367,0.010106,3.162404872593471,316.21504528605965,337.56303737603747,166.628676191623,1.0
Llama2-13B,20,1,20,32,32,3072,0.051761,0.0094062218148367,0.01555525,0.0767224718148367,0.010106,3.229004872593471,309.6929362007498,338.05032883854784,163.27463188430858,1.0
Llama2-13B,20,1,20,32,32,3200,0.0542815,0.0094062218148367,0.01610525,0.0797929718148367,0.010106,3.3518248725934714,298.3449428329622,339.768718403593,156.48458425227426,1.0
Llama2-13B,20,1,20,32,32,3328,0.0554015,0.0094062218148367,0.01665525,0.0814629718148367,0.010106,3.4186248725934707,292.5152765419887,340.2560556567534,153.54099422251812,1.0
Llama2-13B,20,1,20,32,32,3456,0.056484,0.0094062218148367,0.01720525,0.0830954718148367,0.010106,3.483924872593472,287.0325958709865,340.7429971404133,150.81394604685102,1.0
Llama2-13B,20,1,20,32,32,3584,0.057599,0.0094062218148367,0.01775525,0.0847604718148367,0.010106,3.5505248725934706,281.6484987104323,341.2302886029236,148.10599515743482,1.0
Llama2-13B,20,1,20,32,32,3712,0.0587615,0.0094062218148367,0.01830525,0.0864729718148367,0.010106,3.619024872593472,276.3175261858254,341.718114970235,145.38350576918344,1.0
Llama2-13B,20,1,20,32,32,3840,0.0598815,0.0094062218148367,0.01885525,0.0881429718148367,0.010106,3.685824872593471,271.3096890293559,342.2054522233955,142.8677689367315,1.0
Llama2-13B,20,1,20,32,32,3968,0.060964,0.0094062218148367,0.01940525,0.0897754718148367,0.010106,3.751124872593471,266.5866997140554,342.6923937070552,140.53063845345417,1.0
Llama2-13B,20,1,20,32,32,4096,0.062079,0.0094062218148367,0.01995525,0.0914404718148367,0.010106,3.817724872593471,261.9361094296657,343.1796851695657,138.20280818375193,1.0
Llama2-13B,20,2,10,32,32,128,0.0244845,0.0091337434387207,0.00290525,0.0365234934387207,0.0118385,1.622778237548828,1232.4542896390806,184.3769456296478,376.51768594344975,1.0
Llama2-13B,20,2,10,32,32,256,0.0256045,0.0091337434387207,0.00345525,0.0381934934387207,0.0118385,1.689578237548828,1183.727367903081,184.8541471954504,360.97980276016,1.0
Llama2-13B,20,2,10,32,32,384,0.026687,0.0091337434387207,0.00400525,0.0398259934387207,0.0118385,1.754878237548828,1139.6802109721027,185.330952991752,347.23077339482137,1.0
Llama2-13B,20,2,10,32,32,512,0.027802,0.0091337434387207,0.00455525,0.0414909934387207,0.0118385,1.821478237548828,1098.0092755274472,185.80810876690435,334.1632054652622,1.0
Llama2-13B,20,2,10,32,32,640,0.0289645,0.0091337434387207,0.00510525,0.0432034934387207,0.0118385,1.889978237548828,1058.2132430232966,186.2857994468577,321.5760662998805,1.0
