device_type,phase,op,duration
npu,decode,FFN_W1,6.799386214401141
npu,decode,FFN_W2,6.799386214401141
npu,decode,FFN_W3,6.799386214401141
npu,decode,V,2.4485088461042483
npu,decode,K,2.216186347541901
npu,decode,O,2.216186347541901
npu,decode,Q,0.39289709568444076
npu,decode,K_read,0.016304479999954703
npu,decode,LN,0.005577586972351334
npu,decode,Softmax,0.003651115506121627
npu,decode,SV,0.0005488195826615083
npu,decode,V_read,0.0004966399999987001
npu,decode,QK,0.00015801875006360433
npu,decode,Add,0.00012383999874021612
npu,prefill,V,1.0001527470060594
npu,prefill,SwiGLU,0.0422707200000009
npu,prefill,Add,0.0314572799999966
npu,prefill,LN,0.020971519999991802
npu,prefill,Identity,0.0101580799999959
pim,decode,Q,19.824065842011457
pim,decode,K,2.9109897480016937
pim,decode,O,2.9109897480016937
pim,decode,V,0.7559547020004268
pim,decode,QK,0.06048838399885348
pim,decode,SV,0.039042745998708384
pim,decode,Softmax,0.021733773003212775
pim,decode,LN,0.006446103974095507
pim,decode,SwiGLU,0.006125600009795562
pim,decode,Add,0.0030084419646456695
pim,decode,Identity,0.0010316799951226585
pim,decode,K_read,0.0
pim,decode,K_write,0.0
pim,decode,V_read,0.0
pim,decode,V_write,0.0
pim,prefill,FFN_W3,1.0053444479999973
pim,prefill,FFN_W2,1.0052635840000015
pim,prefill,FFN_W1,1.0052165760000034
pim,prefill,Q,0.3778138240000023
pim,prefill,K,0.3778138240000022
pim,prefill,O,0.3778138240000022
pim,prefill,QK,0.0005980159999984351
pim,prefill,SV,0.00039321600000075113
pim,prefill,Softmax,0.00022748799999860667
pim,prefill,K_read,0.0
pim,prefill,K_write,0.0
pim,prefill,V_read,0.0
pim,prefill,V_write,0.0
