phase,node_id,op,device,device_type,mode,start,end,duration
decode,L26_SwiGLU_s1,SwiGLU,Ascend_910B_NPU0,npu,COMMAWARE,0.420834654,0.420835291,6.37E-07
decode,L26_FFN_W2_s0,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.420835291,0.420875482,4.02E-05
decode,L26_FFN_W2_s1,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.420875482,0.420915673,4.02E-05
decode,L26_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.420915673,0.420915673,0
decode,L26_Add2,Add,Ascend_910B_NPU0,npu,COMMAWARE,0.420915673,0.420915841,1.68E-07
decode,L27_LN,LN,Ascend_910B_NPU0,npu,COMMAWARE,0.420915841,0.420916191,3.51E-07
decode,L27_Q_s0,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.420916191,0.420924072,7.88E-06
decode,L27_Q_s1,Q,Ascend_910B_NPU0,npu,COMMAWARE,0.420924072,0.420931953,7.88E-06
decode,L27_K_s0,K,PIM0,pim,COMMAWARE,0.420916976,0.420930976,1.40E-05
decode,L27_K_s1,K,PIM1,pim,COMMAWARE,0.420916976,0.420930976,1.40E-05
decode,L27_QK_s0,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.421066873,0.421067351,4.77E-07
decode,L27_QK_s1,QK,Ascend_910B_NPU0,npu,COMMAWARE,0.42106778,0.421068257,4.77E-07
decode,L27_Softmax_s0,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.421068257,0.421069156,8.98E-07
decode,L27_Softmax_s1,Softmax,Ascend_910B_NPU0,npu,COMMAWARE,0.421069156,0.421070054,8.98E-07
decode,L27_V_s0,V,PIM0,pim,COMMAWARE,0.420932336,0.420946336,1.40E-05
decode,L27_V_s1,V,PIM1,pim,COMMAWARE,0.420933243,0.420947243,1.40E-05
decode,L27_SV_s0,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.421204983,0.42120546,4.77E-07
decode,L27_SV_s1,SV,Ascend_910B_NPU0,npu,COMMAWARE,0.421205882,0.421206359,4.77E-07
decode,L27_O_s0,O,Ascend_910B_NPU0,npu,COMMAWARE,0.421206359,0.421212923,6.56E-06
decode,L27_O_s1,O,Ascend_910B_NPU0,npu,COMMAWARE,0.421212923,0.421219486,6.56E-06
decode,L27_AllReduce_O,ALLREDUCE,COMM,comm,COMM,0.421219486,0.421219486,0
decode,L27_Add1,Add,Ascend_910B_NPU0,npu,COMMAWARE,0.421219486,0.421219654,1.68E-07
decode,L27_LN2,LN,Ascend_910B_NPU0,npu,COMMAWARE,0.421219654,0.421220005,3.51E-07
decode,L27_FFN_W1_s0,FFN_W1,Ascend_910B_NPU0,npu,COMMAWARE,0.421220005,0.421258487,3.85E-05
decode,L27_FFN_W1_s1,FFN_W1,Ascend_910B_NPU0,npu,COMMAWARE,0.421258487,0.421296969,3.85E-05
decode,L27_FFN_W3_s0,FFN_W3,PIM0,pim,COMMAWARE,0.421220789,0.421298469,7.77E-05
decode,L27_FFN_W3_s1,FFN_W3,PIM1,pim,COMMAWARE,0.421220789,0.421298469,7.77E-05
decode,L27_SwiGLU_s0,SwiGLU,Ascend_910B_NPU0,npu,COMMAWARE,0.421300782,0.421301419,6.37E-07
decode,L27_SwiGLU_s1,SwiGLU,Ascend_910B_NPU0,npu,COMMAWARE,0.421301419,0.421302056,6.37E-07
decode,L27_FFN_W2_s0,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.421302056,0.421342247,4.02E-05
decode,L27_FFN_W2_s1,FFN_W2,Ascend_910B_NPU0,npu,COMMAWARE,0.421342247,0.421382438,4.02E-05
decode,L27_AllReduce_FFN,ALLREDUCE,COMM,comm,COMM,0.421382438,0.421382438,0
decode,L27_Add2,Add,Ascend_910B_NPU0,npu,COMMAWARE,0.421382438,0.421382605,1.68E-07
decode,L0_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298469,0.421298499,3.00E-08
decode,L0_V_write_s0,V_write,PIM0,pim,COMMAWARE,0.421298499,0.421298529,3.00E-08
decode,L0_K_write_s1,K_write,PIM1,pim,COMMAWARE,0.421298469,0.421298499,3.00E-08
decode,L0_V_write_s1,V_write,PIM1,pim,COMMAWARE,0.421298499,0.421298529,3.00E-08
decode,L1_K_write_s0,K_write,PIM0,pim,COMMAWARE,0.421298529,0.421298559,3.00E-08
