phase,node_id,op,device,device_type,mode,start,end,duration
decode,L11_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.884030669,0.884031453,7.84E-07
decode,L11_Add2,Add,PIM0,pim,FIXED_PLAN,0.884031453,0.884031513,6.00E-08
decode,L12_LN,LN,PIM1,pim,FIXED_PLAN,0.884032308,0.884055388,2.31E-05
decode,L12_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.884056182,0.884078142,2.20E-05
decode,L12_K_s0,K,PIM0,pim,FIXED_PLAN,0.884078142,0.884092142,1.40E-05
decode,L12_V_s0,V,PIM0,pim,FIXED_PLAN,0.884092142,0.884106142,1.40E-05
decode,L12_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.884055388,0.884077348,2.20E-05
decode,L12_K_s1,K,PIM1,pim,FIXED_PLAN,0.884077348,0.884091348,1.40E-05
decode,L12_V_s1,V,PIM1,pim,FIXED_PLAN,0.884091348,0.884105348,1.40E-05
decode,L12_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.884106142,0.884106172,3.00E-08
decode,L12_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.884106172,0.884604572,0.0004984
decode,L12_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.884604572,0.884604602,3.00E-08
decode,L12_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.884105348,0.884105378,3.00E-08
decode,L12_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.884105378,0.884603778,0.0004984
decode,L12_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.884603778,0.884603808,3.00E-08
decode,L12_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.884604602,0.884708442,0.00010384
decode,L12_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.884603808,0.884707648,0.00010384
decode,L12_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.884708442,0.885442122,0.00073368
decode,L12_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.884707648,0.885441328,0.00073368
decode,L12_O_s0,O,PIM1,pim,FIXED_PLAN,0.885442519,0.885457479,1.50E-05
decode,L12_O_s1,O,PIM0,pim,FIXED_PLAN,0.885442122,0.885457082,1.50E-05
decode,L12_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.885457479,0.885458264,7.84E-07
decode,L12_Add1,Add,PIM0,pim,FIXED_PLAN,0.885458264,0.885458324,6.00E-08
decode,L12_LN2,LN,PIM1,pim,FIXED_PLAN,0.885459118,0.885482198,2.31E-05
decode,L12_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.885482993,0.885574193,9.12E-05
decode,L12_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.885482198,0.885559878,7.77E-05
decode,L12_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.885559878,0.885651078,9.12E-05
decode,L12_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.885574193,0.885651873,7.77E-05
decode,L12_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.885651078,0.885661138,1.01E-05
decode,L12_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.885653391,0.885663451,1.01E-05
decode,L12_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.885661138,0.885742338,8.12E-05
decode,L12_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.885663451,0.885744651,8.12E-05
decode,L12_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.885744651,0.885745436,7.84E-07
decode,L12_Add2,Add,PIM0,pim,FIXED_PLAN,0.885745436,0.885745496,6.00E-08
decode,L13_LN,LN,PIM1,pim,FIXED_PLAN,0.88574629,0.88576937,2.31E-05
decode,L13_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.885770165,0.885792125,2.20E-05
decode,L13_K_s0,K,PIM0,pim,FIXED_PLAN,0.885792125,0.885806125,1.40E-05
decode,L13_V_s0,V,PIM0,pim,FIXED_PLAN,0.885806125,0.885820125,1.40E-05
decode,L13_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.88576937,0.88579133,2.20E-05
decode,L13_K_s1,K,PIM1,pim,FIXED_PLAN,0.88579133,0.88580533,1.40E-05
decode,L13_V_s1,V,PIM1,pim,FIXED_PLAN,0.88580533,0.88581933,1.40E-05
decode,L13_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.885820125,0.885820155,3.00E-08
decode,L13_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.885820155,0.886318555,0.0004984
decode,L13_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.886318555,0.886318585,3.00E-08
decode,L13_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.88581933,0.88581936,3.00E-08
decode,L13_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.88581936,0.88631776,0.0004984
decode,L13_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.88631776,0.88631779,3.00E-08
decode,L13_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.886318585,0.886422425,0.00010384
decode,L13_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.88631779,0.88642163,0.00010384
decode,L13_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.886422425,0.887156105,0.00073368
decode,L13_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.88642163,0.88715531,0.00073368
decode,L13_O_s0,O,PIM1,pim,FIXED_PLAN,0.887156502,0.887171462,1.50E-05
decode,L13_O_s1,O,PIM0,pim,FIXED_PLAN,0.887156105,0.887171065,1.50E-05
decode,L13_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.887171462,0.887172247,7.84E-07
decode,L13_Add1,Add,PIM0,pim,FIXED_PLAN,0.887172247,0.887172307,6.00E-08
decode,L13_LN2,LN,PIM1,pim,FIXED_PLAN,0.887173101,0.887196181,2.31E-05
decode,L13_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.887196975,0.887288175,9.12E-05
decode,L13_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.887196181,0.887273861,7.77E-05
decode,L13_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.887273861,0.887365061,9.12E-05
decode,L13_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.887288175,0.887365855,7.77E-05
decode,L13_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.887365061,0.887375121,1.01E-05
decode,L13_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.887367374,0.887377434,1.01E-05
decode,L13_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.887375121,0.887456321,8.12E-05
decode,L13_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.887377434,0.887458634,8.12E-05
decode,L13_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.887458634,0.887459419,7.84E-07
decode,L13_Add2,Add,PIM0,pim,FIXED_PLAN,0.887459419,0.887459479,6.00E-08
decode,L14_LN,LN,PIM1,pim,FIXED_PLAN,0.887460273,0.887483353,2.31E-05
decode,L14_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.887484147,0.887506107,2.20E-05
decode,L14_K_s0,K,PIM0,pim,FIXED_PLAN,0.887506107,0.887520107,1.40E-05
decode,L14_V_s0,V,PIM0,pim,FIXED_PLAN,0.887520107,0.887534107,1.40E-05
decode,L14_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.887483353,0.887505313,2.20E-05
decode,L14_K_s1,K,PIM1,pim,FIXED_PLAN,0.887505313,0.887519313,1.40E-05
decode,L14_V_s1,V,PIM1,pim,FIXED_PLAN,0.887519313,0.887533313,1.40E-05
decode,L14_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.887534107,0.887534137,3.00E-08
decode,L14_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.887534137,0.888032537,0.0004984
decode,L14_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.888032537,0.888032567,3.00E-08
decode,L14_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.887533313,0.887533343,3.00E-08
decode,L14_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.887533343,0.888031743,0.0004984
decode,L14_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.888031743,0.888031773,3.00E-08
decode,L14_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.888032567,0.888136407,0.00010384
decode,L14_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.888031773,0.888135613,0.00010384
decode,L14_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.888136407,0.888870087,0.00073368
decode,L14_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.888135613,0.888869293,0.00073368
decode,L14_O_s0,O,PIM1,pim,FIXED_PLAN,0.888870485,0.888885445,1.50E-05
decode,L14_O_s1,O,PIM0,pim,FIXED_PLAN,0.888870087,0.888885047,1.50E-05
decode,L14_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.888885445,0.888886229,7.84E-07
decode,L14_Add1,Add,PIM0,pim,FIXED_PLAN,0.888886229,0.888886289,6.00E-08
decode,L14_LN2,LN,PIM1,pim,FIXED_PLAN,0.888887084,0.888910164,2.31E-05
decode,L14_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.888910958,0.889002158,9.12E-05
decode,L14_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.888910164,0.888987844,7.77E-05
decode,L14_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.888987844,0.889079044,9.12E-05
decode,L14_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.889002158,0.889079838,7.77E-05
decode,L14_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.889079044,0.889089104,1.01E-05
decode,L14_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.889081357,0.889091417,1.01E-05
decode,L14_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.889089104,0.889170304,8.12E-05
decode,L14_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.889091417,0.889172617,8.12E-05
decode,L14_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.889172617,0.889173401,7.84E-07
decode,L14_Add2,Add,PIM0,pim,FIXED_PLAN,0.889173401,0.889173461,6.00E-08
decode,L15_LN,LN,PIM1,pim,FIXED_PLAN,0.889174256,0.889197336,2.31E-05
decode,L15_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.88919813,0.88922009,2.20E-05
decode,L15_K_s0,K,PIM0,pim,FIXED_PLAN,0.88922009,0.88923409,1.40E-05
decode,L15_V_s0,V,PIM0,pim,FIXED_PLAN,0.88923409,0.88924809,1.40E-05
decode,L15_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.889197336,0.889219296,2.20E-05
decode,L15_K_s1,K,PIM1,pim,FIXED_PLAN,0.889219296,0.889233296,1.40E-05
decode,L15_V_s1,V,PIM1,pim,FIXED_PLAN,0.889233296,0.889247296,1.40E-05
decode,L15_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.88924809,0.88924812,3.00E-08
decode,L15_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.88924812,0.88974652,0.0004984
decode,L15_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.88974652,0.88974655,3.00E-08
decode,L15_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.889247296,0.889247326,3.00E-08
decode,L15_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.889247326,0.889745726,0.0004984
decode,L15_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.889745726,0.889745756,3.00E-08
decode,L15_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.88974655,0.88985039,0.00010384
decode,L15_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.889745756,0.889849596,0.00010384
decode,L15_SV_s0,SV,PIM0,pim,FIXED_PLAN,0.88985039,0.89058407,0.00073368
decode,L15_SV_s1,SV,PIM1,pim,FIXED_PLAN,0.889849596,0.890583276,0.00073368
decode,L15_O_s0,O,PIM1,pim,FIXED_PLAN,0.890584467,0.890599427,1.50E-05
decode,L15_O_s1,O,PIM0,pim,FIXED_PLAN,0.89058407,0.89059903,1.50E-05
decode,L15_AllReduce_O,ALLREDUCE,COMM,comm,FIXED_COMM,0.890599427,0.890600212,7.84E-07
decode,L15_Add1,Add,PIM0,pim,FIXED_PLAN,0.890600212,0.890600272,6.00E-08
decode,L15_LN2,LN,PIM1,pim,FIXED_PLAN,0.890601066,0.890624146,2.31E-05
decode,L15_FFN_W1_s0,FFN_W1,PIM0,pim,FIXED_PLAN,0.890624941,0.890716141,9.12E-05
decode,L15_FFN_W3_s0,FFN_W3,PIM1,pim,FIXED_PLAN,0.890624146,0.890701826,7.77E-05
decode,L15_FFN_W1_s1,FFN_W1,PIM1,pim,FIXED_PLAN,0.890701826,0.890793026,9.12E-05
decode,L15_FFN_W3_s1,FFN_W3,PIM0,pim,FIXED_PLAN,0.890716141,0.890793821,7.77E-05
decode,L15_SwiGLU_s0,SwiGLU,PIM1,pim,FIXED_PLAN,0.890793026,0.890803086,1.01E-05
decode,L15_SwiGLU_s1,SwiGLU,PIM0,pim,FIXED_PLAN,0.890795339,0.890805399,1.01E-05
decode,L15_FFN_W2_s0,FFN_W2,PIM1,pim,FIXED_PLAN,0.890803086,0.890884286,8.12E-05
decode,L15_FFN_W2_s1,FFN_W2,PIM0,pim,FIXED_PLAN,0.890805399,0.890886599,8.12E-05
decode,L15_AllReduce_FFN,ALLREDUCE,COMM,comm,FIXED_COMM,0.890886599,0.890887384,7.84E-07
decode,L15_Add2,Add,PIM0,pim,FIXED_PLAN,0.890887384,0.890887444,6.00E-08
decode,L16_LN,LN,PIM1,pim,FIXED_PLAN,0.890888238,0.890911318,2.31E-05
decode,L16_Q_s0,Q,PIM0,pim,FIXED_PLAN,0.890912113,0.890934073,2.20E-05
decode,L16_K_s0,K,PIM0,pim,FIXED_PLAN,0.890934073,0.890948073,1.40E-05
decode,L16_V_s0,V,PIM0,pim,FIXED_PLAN,0.890948073,0.890962073,1.40E-05
decode,L16_Q_s1,Q,PIM1,pim,FIXED_PLAN,0.890911318,0.890933278,2.20E-05
decode,L16_K_s1,K,PIM1,pim,FIXED_PLAN,0.890933278,0.890947278,1.40E-05
decode,L16_V_s1,V,PIM1,pim,FIXED_PLAN,0.890947278,0.890961278,1.40E-05
decode,L16_K_write_s0,K_write,PIM0,pim,FIXED_PLAN,0.890962073,0.890962103,3.00E-08
decode,L16_QK_s0,QK,PIM0,pim,FIXED_PLAN,0.890962103,0.891460503,0.0004984
decode,L16_V_write_s0,V_write,PIM0,pim,FIXED_PLAN,0.891460503,0.891460533,3.00E-08
decode,L16_K_write_s1,K_write,PIM1,pim,FIXED_PLAN,0.890961278,0.890961308,3.00E-08
decode,L16_QK_s1,QK,PIM1,pim,FIXED_PLAN,0.890961308,0.891459708,0.0004984
decode,L16_V_write_s1,V_write,PIM1,pim,FIXED_PLAN,0.891459708,0.891459738,3.00E-08
decode,L16_Softmax_s0,Softmax,PIM0,pim,FIXED_PLAN,0.891460533,0.891564373,0.00010384
decode,L16_Softmax_s1,Softmax,PIM1,pim,FIXED_PLAN,0.891459738,0.891563578,0.00010384
